BEN,Billed Entity Name,City,State,Applicant Type,C2 Budget Cycle,Child Entity Count,Library Square Footage,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133319,HILLSBORO PUBLIC LIBRARY,HILLSBORO,WI,Library,FY2021-2025,0,"7,360",$4.50,"$33,120.00",Forecast,$0.00,$0.00,"$33,120.00"
132936,JOHNSON PUBLIC LIBRARY,DARLINGTON,WI,Library,FY2021-2025,0,"8,900",$4.50,"$40,050.00",Forecast,$0.00,$0.00,"$40,050.00"
133348,L E PHILLIPS MEMORIAL LIBRARY,EAU CLAIRE,WI,Library,FY2021-2025,0,"59,700",$4.50,"$268,650.00",Forecast,$0.00,$0.00,"$268,650.00"
132828,FRANKLIN PUBLIC LIBRARY,FRANKLIN,WI,Library,FY2021-2025,0,"40,000",$4.50,"$180,000.00",Forecast,$0.00,$0.00,"$180,000.00"
132817,ELM GROVE PUBLIC LIBRARY,ELM GROVE,WI,Library,FY2021-2025,0,"9,150",$4.50,"$41,175.00",Forecast,$0.00,$0.00,"$41,175.00"
133299,WINDING RIVERS LIBRARY SYSTEM,WEST SALEM,WI,Library,FY2021-2025,0,"3,600",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
156017,ONEIDA COMMUNITY LIBRARY,ONEIDA,WI,Library,FY2021-2025,0,"5,195",$4.50,"$55,000.00",Forecast,$0.00,$0.00,"$55,000.00"
133027,HILDEBRAND MEMORIAL LIBRARY,BOSCOBEL,WI,Library,FY2021-2025,0,"4,771",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
153915,PHILLIPS PUBLIC LIBRARY,PHILLIPS,WI,Library,FY2021-2025,0,"5,784",$4.50,"$26,028.00",Forecast,$0.00,$0.00,"$26,028.00"
17032677,GERMANTOWN COMMUNITY LIBRARY,GERMANTOWN,WI,Library,FY2021-2025,0,"26,000",$4.50,"$117,000.00",Forecast,$0.00,$0.00,"$117,000.00"
133226,T B SCOTT FREE LIBRARY,MERRILL,WI,Library,FY2021-2025,0,"27,000",$4.50,"$121,500.00",Forecast,$0.00,$0.00,"$121,500.00"
133339,SHIRLEY M. WRIGHT PUBLIC LIBRARY,TREMPEALEAU,WI,Library,FY2021-2025,0,"7,600",$4.50,"$34,200.00",Forecast,$0.00,$0.00,"$34,200.00"
133401,SPOONER MEMORIAL LIBRARY,SPOONER,WI,Library,FY2021-2025,0,"5,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132860,GRAHAM PUBLIC LIBRARY,UNION GROVE,WI,Library,FY2021-2025,0,"7,200",$4.50,"$32,400.00",Forecast,$0.00,$0.00,"$32,400.00"
209248,LOWELL PUBLIC LIBRARY,LOWELL,WI,Library,FY2021-2025,0,900,$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132966,MAZOMANIE FREE LIBRARY,MAZOMANIE,WI,Library,FY2021-2025,0,"3,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133418,DRUMMOND PUBLIC LIBRARY,DRUMMOND,WI,Library,FY2021-2025,0,"2,700",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132929,BRODHEAD MEMORIAL PUBLIC LIBRARY,BRODHEAD,WI,Library,FY2021-2025,0,"15,000",$4.50,"$67,500.00",Forecast,$0.00,$0.00,"$67,500.00"
151854,TAYLOR MEMORIAL LIBRARY,TAYLOR,WI,Library,FY2021-2025,0,"1,887",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133072,MAUSTON PUBLIC LIBRARY,MAUSTON,WI,Library,FY2021-2025,0,"29,976",$4.50,"$134,892.00",Forecast,$0.00,$0.00,"$134,892.00"
132765,TOWN HALL LIBRARY,NORTH LAKE,WI,Library,FY2021-2025,0,"15,000",$4.50,"$67,500.00",Forecast,$0.00,$0.00,"$67,500.00"
209249,REESEVILLE PUBLIC LIBRARY,REESEVILLE,WI,Library,FY2021-2025,0,"1,025",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133335,SPARTA FREE LIBRARY,SPARTA,WI,Library,FY2021-2025,0,"11,468",$4.50,"$51,606.00",Forecast,$0.00,$0.00,"$51,606.00"
133062,COLUMBUS PUBLIC LIBRARY,COLUMBUS,WI,Library,FY2021-2025,0,"6,200",$4.50,"$27,900.00",Forecast,$0.00,$0.00,"$27,900.00"
133225,FRANCES L. SIMEK MEMORIAL LIBRARY,MEDFORD,WI,Library,FY2021-2025,0,"13,000",$4.50,"$58,500.00",Forecast,$0.00,$0.00,"$58,500.00"
154126,OSCAR GRADY LIBRARY,SAUKVILLE,WI,Library,FY2021-2025,0,"11,360",$4.50,"$51,120.00",Forecast,$0.00,$0.00,"$51,120.00"
133331,ONTARIO PUBLIC LIBRARY,ONTARIO,WI,Library,FY2021-2025,0,"7,444",$4.50,"$33,498.00",Forecast,$0.00,$0.00,"$33,498.00"
62746,LA CROSSE PUBLIC LIBRARY SOUTH,LA CROSSE,WI,Library,FY2021-2025,0,"7,200",$4.50,"$32,400.00",Forecast,$0.00,$0.00,"$32,400.00"
132777,PLYMOUTH PUBLIC LIBRARY,PLYMOUTH,WI,Library,FY2021-2025,0,"16,790",$4.50,"$75,555.00",Forecast,$0.00,$0.00,"$75,555.00"
154738,ALICE BAKER PUBLIC LIBRARY,EAGLE,WI,Library,FY2021-2025,0,"4,160",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
