BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133009,WATERLOO SCHOOL DISTRICT,WATERLOO,WI,School District,,FY2026-2030,3,Per Site Basis School District,744,,$201.57 ,,"$149,968.08 ",Forecast,$0.00 ,$0.00 ,"$149,968.08 "
133169,ALGOMA SCHOOL DISTRICT,ALGOMA,WI,School District,"E-Rate All-Stars, LLC (17050092); Solix Inc. (17020245)",FY2026-2030,3,Per Site Basis School District,623,,$201.57 ,,"$148,698.16 ",Forecast,$0.00 ,$0.00 ,"$148,698.16 "
16053129,BUSINESS AND ECONOMICS ACADEMY OF MILWAUKEE ANNEX,MILWAUKEE,WI,School,E-Rate Advantage (16060670),FY2026-2030,0,Independent School,734,,$201.57 ,,"$147,952.38 ",Forecast,$0.00 ,$0.00 ,"$147,952.38 "
16072894,ACADEMY OF EXCELLENCE,MILWAUKEE,WI,School District,"ERateProgram, LLC (16048902)",FY2026-2030,1,Per Site Basis School District,729,,$201.57 ,,"$146,944.53 ",Forecast,$0.00 ,$0.00 ,"$146,944.53 "
133183,SEVASTOPOL SCHOOL DISTRICT,STURGEON BAY,WI,School District,E-RATE ONLINE LLC (16048791),FY2026-2030,4,Per Site Basis School District,593,,$201.57 ,,"$146,621.96 ",Forecast,$0.00 ,$0.00 ,"$146,621.96 "
133427,SCHOOL DISTRICT OF LADYSMITH,LADYSMITH,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,726,,$201.57 ,,"$146,339.82 ",Forecast,$0.00 ,$0.00 ,"$146,339.82 "
16065738,LA CAUSA CHARTER SCHOOL,MILWAUKEE,WI,School,Communications Audit Services (17021966),FY2026-2030,0,Independent School,726,,$201.57 ,,"$146,339.82 ",Forecast,$0.00 ,$0.00 ,"$146,339.82 "
133164,SHIOCTON SCHOOL DISTRICT,SHIOCTON,WI,School District,,FY2026-2030,2,Per Site Basis School District,725,,$201.57 ,,"$146,138.25 ",Preliminary,$0.00 ,"$64,728.55 ","$81,409.70 "
62353,NOTRE DAME DE LA BAIE ACADEMY,GREEN BAY,WI,School,,FY2026-2030,0,Independent School,724,,$201.57 ,,"$145,936.68 ",Preliminary,$0.00 ,"$21,672.00 ","$124,264.68 "
17027588,THE LINCOLN ACADEMY CHARTER SCHOOL,BELOIT,WI,School,Garber Consulting Group LLC (16062944),FY2026-2030,0,Independent School,721,,$201.57 ,,"$145,331.97 ",Preliminary,$0.00 ,"$138,985.22 ","$6,346.75 "
133070,MARKESAN SCHOOL DISTRICT,MARKESAN,WI,School District,Communications Audit Services (17021966),FY2026-2030,4,Per Site Basis School District,721,,$201.57 ,,"$145,331.97 ",Forecast,$0.00 ,$0.00 ,"$145,331.97 "
